description,price,rating,review_count,url
"Dell Inspiron 3505 15"" (38.1 cms) FHD AG Laptop (Ryzen-3 3250U / 4 GB / 1TB+256 SSD / Vega Graphics / Win 10 + MSO / Soft Mint Color) D560338WIN9S","45,450",4.4 out of 5 stars,125,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg24_1?ie=UTF8&adId=A0351530338BNFRAQ1YE8&url=%2FDell-Inspiron-Display-Graphics-D560338WIN9S%2Fdp%2FB08HPY2N4W%2Fref%3Dsr_1_373_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417035%26sr%3D8-373-spons%26psc%3D1&qualifier=1627417035&id=7477511287331870&widgetName=sp_btf
"HP Pavilion Gaming 15.6-inch(39.62 cms) FHD Gaming Laptop (Ryzen 5-3550H/8GB/1TB HDD/M.2 Slot/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black/2.25 kg), 15-ec0100AX","59,890",3.7 out of 5 stars,135,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg24_1?ie=UTF8&adId=A09073253C1193UMXYG01&url=%2FHP-Pavilion-15-6-inch-5-3550H-15-ec0100AX%2Fdp%2FB08CYZM4Y3%2Fref%3Dsr_1_374_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417035%26sr%3D8-374-spons%26psc%3D1&qualifier=1627417035&id=7477511287331870&widgetName=sp_btf
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6"" (39.63cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG0125IN","64,990",4.3 out of 5 stars,278,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg25_1?ie=UTF8&adId=A07352362U374DS6GI54K&url=%2FLenovo-Keyboard-Fingerprint-Graphite-82FG0125IN%2Fdp%2FB096SLFV5G%2Fref%3Dsr_1_385_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417039%26sr%3D8-385-spons%26psc%3D1&qualifier=1627417039&id=5785361481436769&widgetName=sp_atf_next
"Lenovo IdeaPad Slim 5 AMD Ryzen 7 4700U 14"" (35.56cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.39Kg), 81YM002TIN","60,990",4.1 out of 5 stars,214,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg25_1?ie=UTF8&adId=A0736528SLXPVLR3GBLS&url=%2FLenovo-Integrated-Graphics-Graphite-81YM002TIN%2Fdp%2FB087D3VVW3%2Fref%3Dsr_1_386_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417039%26sr%3D8-386-spons%26psc%3D1&qualifier=1627417039&id=5785361481436769&widgetName=sp_atf_next
"HP 14 (2021) Thin & Light 11th Gen Core i3 Laptop, 8 GB RAM, 256GB SSD, 14-inch (35.56 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa(14s-dy2500TU)","40,990",4.3 out of 5 stars,"1,677",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg25_1?ie=UTF8&adId=A03516862BO4S2X8B1V0A&url=%2FHP-Laptop-14-inch-Windows-14s-dy2500TU%2Fdp%2FB08XY3QXY5%2Fref%3Dsr_1_387_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417039%26sr%3D8-387-spons%26psc%3D1&qualifier=1627417039&id=5785361481436769&widgetName=sp_mtf
"HP 14 (2021) 11th Gen Intel Core i3 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-Inch (35.6 cm) FHD Screen, Windows 10, MS Office, (14s- dy2501tu)","41,990",4.3 out of 5 stars,235,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg25_1?ie=UTF8&adId=A03468503IWX9FJ7KZLWX&url=%2FHP-Laptop-14-Inch-Windows-dy2501tu%2Fdp%2FB093VZC5X9%2Fref%3Dsr_1_388_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417039%26sr%3D8-388-spons%26psc%3D1&qualifier=1627417039&id=5785361481436769&widgetName=sp_mtf
"ASUS VivoBook 14 (2020) Intel Core i5-1035G1 10th Gen 35.56 cm FHD Thin and Light Laptop (8GB/512GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/Transparent Silver/1.6 kg), X415JA-EK094TS","52,990",4.0 out of 5 stars,285,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg25_1?ie=UTF8&adId=A03481103OWNGA2N1538M&url=%2FASUS-i5-1035G1-Integrated-Transparent-X415JA-EK094TS%2Fdp%2FB08JMMHZLN%2Fref%3Dsr_1_389_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417039%26sr%3D8-389-spons%26psc%3D1&qualifier=1627417039&id=5785361481436769&widgetName=sp_btf
Acer Aspire 3 core i5 11th Generation Processor 15.6-inch Full HD Thin and Light Laptop - (8 GB/1 TB HDD/Windows 10 Home/Intel Iris Xe Graphic/Microsoft Office 2019/1.7Kg/Silver) A315-58,"49,990",2.9 out of 5 stars,2,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg25_1?ie=UTF8&adId=A0677551XEXNN5KR295Q&url=%2FAcer-Aspire-Generation-Processor-15-6-inch%2Fdp%2FB096SL21J8%2Fref%3Dsr_1_390_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417039%26sr%3D8-390-spons%26psc%3D1&qualifier=1627417039&id=5785361481436769&widgetName=sp_btf
"Lenovo IdeaPad Slim 5 AMD Ryzen 7 5700U 14"" (35.56cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.39Kg), 82LM009AIN","62,990",4.1 out of 5 stars,214,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg26_1?ie=UTF8&adId=A07357362Z6UEAFE7LFI6&url=%2FLenovo-Keyboard-Fingerprint-Graphite-82LM009AIN%2Fdp%2FB096SJSQN7%2Fref%3Dsr_1_401_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417044%26sr%3D8-401-spons%26psc%3D1&qualifier=1627417044&id=376489248037430&widgetName=sp_atf_next
"HP Pavilion x360 (2021) 14"" (35.56cms) FHD Touchscreen Laptop, 11th Gen Core i3, 8 GB RAM, 256GB SSD, 2-in-1 Convertible, Windows 10, MS Office, Finger Print Reader (14-dw1036TU)","49,490",4.2 out of 5 stars,181,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg26_1?ie=UTF8&adId=A0357250COD9NGGSJ8TI&url=%2FHP-Pavilion-Touchscreen-Convertible-14-dw1036TU%2Fdp%2FB08SRDW9ZT%2Fref%3Dsr_1_402_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417044%26sr%3D8-402-spons%26psc%3D1&qualifier=1627417044&id=376489248037430&widgetName=sp_atf_next
